Year,Month,Day,Location,Description,Credit
1540,Nov,26,Region of Calippus,Starlike appearance on dark side,Observers at Worms
1587,Mar,5,Dark Side,A sterre is sene in the bodie of the moon vpon the (blank) of Marche-whereat many men merueiled-and not without cause-for it stode directly betwene the pointes of her hornes-the mone being chaunged-not passing 5 or 6 daies before.,Anonymous
1668,Nov,26,Dark Side,Bright starlike point,Several New Englanders
1671,Oct,21,Pitatus,NA,NA
1671,Nov,12,Pitatus,Small whitish cloud,D.Cassini
1672,Feb,3,Mare Crisium,Nebulous appearance,D.Cassini
1673,Oct,18,Pitatus,White spot,D.Cassini
1685,Dec,10,Plato,Reddish streak on crater floor seen during eclipse (lunar),Bianchini
1706,May,12,NA,Three sparkling spots,NA
1715,May,3,NA,Lightning on the face of the moon. De Louville explained this as storms. Halley reference uses Old Style date.,Louville-Halley
1725,Aug,16,Plato,A track of ruddy light-like a beam-crossing the middle of the obscure (shadowed) area (crater in darkness),Bianchini
1738,Aug,4,NA,During solar eclipse-appearance like lightning on the face of the moon (Partial eclipse),Friend of Weidler
1751,Apr,22,Plato,Yellow streak of light across crater floor while crater was in darkness,Short-Stephens-Harris
1772,Oct,11,NA,Bright spot on disk of fully eclipsed moon,Beccarias nephew and niece
1774,Jul,25,Mare Crisium,Four bright spots. Peculiar behaviour of terminator,Eysenhard
1778,Jun,14,NA: 1 12 min,During solar eclipse-observed spot near lunar limb almost as bright as sun,Ulloa
1783,Mar,18,NA,Moving glows around middle of disk during lunar eclipse,Messier
1783,Mar,0,Near Aristarchus,Bright points seen during observation of star occultation,W.Herschel
1783,May,4,Aristarchus-vicinity,Red spot-4th mag-diameter <3,W.Herschel-Mrs Lind
1786,Dec,24,Aristarchus,Extraordinarily bright,Schroter
1787,Apr,19,Dark side,Three volcanoes. The brightest-3573 from N limb-the other two much farther toward the center of the moon,W.Herschel
1787,Apr,20,Dark side,Brightest volcano even brighter and at least 3 miles in diameter,W.Herschel
1787,May,19,Aristarchus,Extraordinarily bright,von Bruhl
1787,May,22,Helicon,NA,Villeneuve
1788,Jan,11,Near Plato,Bright spot on dark side,Observers in Mannheim
1788,Mar,9,Dark side,Bright spot,Schroter
1788,Mar,13,Riccioli,Bright spot,Schroter
1788,Mar,13,Helicon,Lunar volcano like 6th mag star,Nouet
1788,Apr,9,Aristarchus: 1 hr,Extraordinarily bright,Bode
1788,Apr,9,Aristarchus,Bright spot 26 N of crater rim,Schroter-Bode
1788,May,8,NA,Bright spots,Mechain
1788,May,8,NA,Bright spots,Bode
1788,Aug,27,NA,Bright spot,Schroter
1788,Sep,26,N edge of Mare Crisium,Small nebulous bright spot,Schroter
1788,Sep,26,118 SE of Plato: 15 min,Whitish bright spot shining somewhat hazily and 4 to 5 in diameter-5th mag-SE of Plato in bright moiuntainous region bounding Mare Imbrium,Schroter
1788,Sep,26,Near Aristarchus: 30 min,Bright spot 26 N of main crater,Schroter
1788,Dec,2,Aristarchus,Extraordinarly bright-like star,Schroter
1788,Dec,11,Plato,Bright area-like thin white cloud,Schroter
1789,Jan,10,NA,Lunar volcano,Seyffer
1789,Mar,29,Grimaldi-and near Riccioli,Two flickering spots on E edge of Grimaldi-and near Riccioli on dark side of moon a bright spot,Schroter
1789,Mar,29,Aristarchus,Nebulous bright area,Schroter
1789,Mar,0,Near Aristarchus,Brilliant spots near Aristarchus: luminous spots on dark side,Bode
1789,Apr,0,Near Aristarchus,Brilliant spots near Aristarchus: luminous spots on dark side,Bode
1789,May,0,Near Aristarchus,Brilliant spots near Aristarchus: luminous spots on dark side,Bode
1789,Sep,26,Mont Blanc: 15 min,Small speck of light at foot of mountain-like 5th mag star,Schroter
1790,Jan,17,Aristarchus region,Small-hazy spot of light,Schroter
1790,Feb,15,Aristarchus region,Small-hazy spot of light,Schroter
1790,Mar,19,Aristarchus region,Small-hazy spot of light,Schroter
1790,Oct,22,NA,During total eclipse-Herschel saw at least 150 small-round-bright-red luminous points. (Mid-eclipse-lunar-Oct 23-00h41m.),W.Herschel
1792,Feb,24,NA,Cusps of moon showed signs of atmosphere,Schroter
